relevance,articleid,date,headline,text
no,wsj_399004010,12-08-2005,"Dow Falls 45.95, Late GM Surge Stanches Losses","The Wall Street Journal Online</br></br>A LATE POP by General Motors kept the Dow Jones Industrial Average from sinking into negative territory for 2005.</br></br>Drifting lower all day, the blue-chip average briefly dipped into the red for the year. But a last-minute surge by GM, one of 30 Dow industrial stocks, helped the average trim its losses just before the close. The auto maker's stock gained 2.9% thanks to a report that it is considering giving a board seat to Kirk Kerkorian's Tracinda Corp., which has been buying GM shares and advocating a corporate makeover to invigorate the stock.</br></br>Analysts said the overall decline by stocks was a carry-over from a selloff that began in late trading Tuesday, when investors unloaded stocks after a big rally. The Dow finished yesterday down 45.95 points at 10810.91, leaving it up just 0.26% for the year.</br></br>The Standard & Poor's 500-stock index fell 6.33 points to 1257.37, leaving it up 3.75% for the year, and the Nasdaq Composite Index declined 8.75 points to 2252.01, up 3.52% year-to-date. Treasury-bond prices declined ahead of a 10-year Treasury-note auction today, pushing yields higher. The dollar, which has benefited from rising interest rates in the U.S. and stagnant rates elsewhere, advanced against the euro and yen."
no,wsj_398714238,4/30/99,MCI Surpasses Expectations On Earnings,"MCI WorldCom Inc., fueled by growth in Internet traffic, data and old-fashioned phone calls, beat analysts' earnings expectations for the first quarter as revenue grew a healthy 15%.</br></br>But shares of the Jackson, Miss., telecommunications company continued to drop amid uncertainty over whether MCI WorldCom will make a bid for Nextel Communications Inc., the nation's last major independent wireless company.</br></br>MCI WorldCom remains in talks with Nextel about a potential acquisition, but the two sides are said to be deadlocked over price. MCI WorldCom officials are reportedly growing concerned about the fall in their company's stock price as the talks continue. MCI WorldCom shares have lost more than 10% in value since April 12. On the Nasdaq Stock Market yesterday, MCI closed at $83.875, down $3.8125.</br></br>MCI WorldCom had net income of $709 million, or 37 cents a diluted share, compared with pro forma earnings of $191 million, or 10 cents a share, in the year-earlier period.</br></br>Excluding MCI WorldCom's 19% interest in Brazil's Embratel Participacoes SA and a one-time gain, the company had operating earnings of $688 million, or 36 cents a share, compared with the yearearlier pro forma results of $169 million, or 10 cents a share. Analysts had expected operating earnings of 34 cents a share, according to a consensus compiled by First Call Corp."
yes,wsj_738300385,08-03-2010,Defending Yourself Against Deflation,"Author: James B. Stewart</br></br>The dreaded ""D"" word is back in circulation, and I don't mean ""depression."" Having skirted that potential calamity, the worry for policy makers and investors now is deflation.</br></br>On the face of it, deflation--falling prices--doesn't seem like it would be so bad. Who wouldn't welcome discounts that just keep getting better, like those sales at Filene's Basement where prices got lower the longer merchandise stayed on the racks?</br></br>Of course, who knows what it really feels like, since most of us have never experienced prolonged deflation in our lifetime.</br></br>Maybe deflation would be a nice thing for people with secure, steady incomes. But deflation erodes profits and asset values. People wait to buy expecting lower prices, reducing demand. Lower profits cause companies to cut expenses, including employees. It is a downward spiral that, if Japan's experience is any indication, is difficult to arrest."
no,wsj_398096941,10-06-1989,Lending to Firms Projected to Grow 9.2% Next Year,"NEW YORK -- Commercial and industrial loan volume in the U.S. is expected to grow a brisk 9.2% next year to $349 billion, according to a forecast by Loan Pricing Corp.</br></br>The projected increase is surprising, since it is higher than forecasts for growth in the nation's Gross National Product next year and greater than commercial loan growth in any of the prior four years. In 1988, commercial loan volume grew 7.2%, and estimates are that it will grow 7.6% this year.</br></br>Richard Bennett, senior economist for Loan Pricing, said, ""People are going to need credit. We believe the economy has still got another year of growth in it.""</br></br>Loan Pricing, a private firm that sells data on the commercial loan market, cited higher interest rates on junk bonds as one factor that is causing more borrowers to turn to short-term bank loans. The well-publicized troubles of some large issuers of high-yield corporate bonds have sent interest rates for such issues climbing to new highs relative to government debt.</br></br>Mr. Bennett said, ""{Junk} bonds are becoming less and less of a way of financing."""
no,wsj_398558612,07-01-1994,"U.S., week ahead of economic summit, signals it wants lower interest rates","WASHINGTON -- A week before an international economic summit, the U.S. signaled that it wants lower interest rates in Japan and Germany, and would give Japan only a temporary respite from trade pressure.</br></br>Treasury Secretary Lloyd Bentsen, in an interview with three</br></br>newspapers, said that ""obviously, lower interest rates would be a help""</br></br>in Germany. Concerning Japan, he added: ""We've urged a reduction in the</br></br>discount rate. . ..and we've also urged a substantial cut in the income"
no,wsj_1125026709,11-01-2012,"Net Worth, Not Income, Is Right Measure of Inequality","According to Kevin A. Hassett and Aparna Mathur's(op-ed, Oct. 25), analyses showing growing inequality in the U.S. err by focusing largely ""on pretax incomes while ignoring the transfer payments and spending from unemployment insurance, food stamps, Medicaid and other safety-net programs."" The authors tell us that in measuring inequality, we should look to consumption rather than pretax cash income. This, allegedly, is because consumption ""will be set by consumers with an eye on their lifetime incomes.""</br></br>Oh, really? How about single parents, pensioners or enlisted military personnel who resort to payday loans? Their consumption is set with an eye on their immediate, pressing needs, not their lifetime incomes.</br></br>The authors seem to think that inequality can be measured by the quantity of washing machines or microwaves in poor homes. They don't consider debt levels. They seem unacquainted with foreclosures. They show no interest in future prospects.</br></br>Most remarkable of all, the authors would undo the very basis of the equality, such as it is, that they perceive in America. The safety net? Trash it, or at least ""reshape"" it.</br></br>So I guess what Mr. Hassett and Ms. Mathur really believe is that if the extent of inequality isn't so bad after all--how silly of we liberals to think otherwise. We should change that right away."
no,wsj_398827026,03-03-2000,The Americas: Ecuador Struggles Toward a Dollar Economy,"OTAVALO, Ecuador -- The long black braid, the blinding white cotton trousers and the woven shoes of the local businessmen here are visible reminders of this community's tenacious cultural pride. But it is at the markets, brimming with traditionally designed wool sweaters, bags, hammocks and wall hangings -- all crafted on imported looms -- that the Otavaleno's much-touted entrepreneurial savvy is on display. Behind the walls of many humble homes in this town, substantial inventories of those same products are bound for markets in Colombia, Chile, Venezuela, Europe and the U.S.</br></br>Located two hours north of Quito by car, on a winding and rutty road, this is said to be the only indigenous community -- of about 40 -- in the country never to have been brought under the control of the Spanish conquistadors. Ergo, instead of the stereotypical Indian poverty and isolation, the dignified Otavaleno is renowned for his independence and worldliness.</br></br>There is one thing, however, that Otavalenos share with this country's other Indian groups, mestizos and Europeans: profound economic suffering at the hands of the perniciously politicized Ecuadoran central bank. Since August 1998 the country's currency, known as the sucre, has lost 80% of its value in dollar terms, destroying savings and living standards; 1999 gross domestic product contracted 26.6% in dollar terms. Inflation, which in 1999 was more than 60%, is forecast to reach 90% in 2000.</br></br>Things are so bad here that even Ecuador's politicians, notorious fans of the central bank as an inexhaustible source of generosity, have caught on. This explains how it is that on Tuesday the Ecuadoran Congress narrowly passed a law mandating that within 180 days the central bank's dollar reserves will be used to retire the paper sucres currently in circulation -- at a rate of 25,000 to one. The new law marks the end of the central bank's power to print money and the beginning of economic hope for 12 million Ecuadorans.</br></br>Yet, it is still only hope. The law grossly perverts the term dollarization in order to preserve specific discretionary central-bank powers such as setting reserve requirements and interest rates and the ability to intervene in the markets through the use of repurchase agreements. The central bankers, it would seem, harbor a deep-seated desire to manipulate monetary outcomes even in the absence of a domestic currency system. This is absurd, but it is also illustrative in that it dramatically defines the core problems of the country: The central bankers, along with this country's other privileged elite, are dug in so hard that nonsense becomes law at their behest. Prying their hands off the economy and moving toward liberalization will mean a long, hard fight, well beyond the simple dollar-for-sucres exchange."
yes,wsj_398459353,02-02-1995,Dollar Declines as Players Take Profits From Rally and After Fed Boosts Rates,"NEW YORK -- The dollar sagged yesterday, as news of a widely anticipated 0.50-percentage point rate increase by the Federal Reserve provided an excuse to take profits on Tuesday's powerful dollar rally.</br></br>The dollar also was depressed by the sell-off in U.S. Treasurys that followed the Fed's action, with bond-market participants concerned that U.S. economic growth will remain buoyant and thus prompt further Fed rate boosts.</br></br>The Federal Reserve decided at its policy-setting meeting yesterday to lift to 6% its Fed funds rate, or the rate banks charge each other for overnight loans. The Fed also raised to 5.25% the discount rate, or the rate at which it sells money to banks.</br></br>Explaining its decision, the Fed said that ""despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace.""</br></br>Traders, who had amassed dollars on Tuesday with the announcement of President Clinton's new aid package for Mexico, abruptly dumped them when the Fed made its announcement. The dollar fell quickly to intraday lows of 1.5150 marks and 98.85 yen within minutes of the Fed's statement; it recovered a little later in the session."
no,wsj_1552366266,08-08-2014,"In Europe, Job Protections for Older Generation Are Barriers for Younger Workers; Earnings Gap Looms for Younger Generation Dependent on Short-Term Contracts","By the time the parents of Serena Violano were in their early 30s, they had solid jobs, their own home and two small daughters.</br></br>Today, Serena, a 31-year-old law graduate, is still sharing her teenage bedroom with her older sister in their family home in the small town of Mercogliano, near Naples.</br></br>Ms. Violano spends her days studying for the exam to qualify as a notary in the hopes of scoring a stable job. The tension over her situation sometimes spills over in arguments with her sister over housework or their shared space. And with her 34-year-old boyfriend subsisting on short-term contracts, Ms. Violano doesn't even dare dream of building the sort of life her parents took for granted.</br></br>""For our parents, everything was much easier,"" she says. ""They had the opportunity to start their own life. Instead, we don't have any guarantees for our own future.""</br></br>Ms. Violano's stunted adulthood and dashed expectations mark a generational divide between younger and older Europeans that is challenging the Continent's dream of broad-based prosperity."
no,wsj_398807329,11/19/02,"Outlook for Business Investment Improves, but Softness May Persist","The outlook for business investment appears to be improving, but business spending is still likely to be weak through the end of this year.</br></br>The G7 Group Inc., a closely held political and economic consulting firm, said the latest preliminary reading of its quarterly index of business investment improved to a minus 25 in the fourth quarter from minus 37 in the third quarter.</br></br>An index measure of minus 33 or lower suggests that business fixed investment is contracting in the current quarter. An index reading between zero and minus 33 indicates growth, but at slower rates than the historical average of 5%. Results greater than zero indicate above-average business investment.</br></br>More specifically, the minus 25 reading is consistent with a 1.1% increase in business investment in the fourth quarter on a seasonally adjusted, annualized basis, G7 Group said.</br></br>If business investment does grow at a 1.1% annual rate this quarter, it would be a step up from the third quarter, when capital spending increased at a 0.6% annual rate, the first gain in two years. But it is also well below the robust levels of the late 1990s, and weak enough to keep pressure on consumers to continue spending to keep the economy afloat -- a tall order given that many economists believe the approaching holiday season will be a disappointment."
yes,wsj_237984569,4/14/10,"Tech Sector in Hiring Drive; Google, Intel Add Workers as Profits Snap Back; Start-Ups Also Fight for Talent","The technology industry, an engine of innovation and U.S. prosperity for more than half a century, is accelerating its recovery from the recession with surging earnings that have spurred companies to sharply ramp up their hiring.</br></br>The latest evidence for the rebound came Thursday, when Internet giant Google Inc. posted a 37% profit jump for the first quarter and chip maker Advanced Micro Devices Inc. reported a 34% revenue increase to record levels. The results follow the strong showing of bellwether Intel Corp., which Tuesday announced quarterly profit that nearly quadrupled on a 44% jump in sales.</br></br>The trio of results kicks off what is likely to be a strong earnings streak as tech spending by companies and consumers picks up. Next week, Apple Inc., Amazon.com Inc. and Microsoft Corp., among others, are slated to report quarterly results. Tech-research firm ISI Group projects that overall revenues from such companies will rise more than 10% for the first quarter, compared with a 16% decline a year earlier. Meanwhile, Standard & Poor's forecasts a 79% increase in tech earnings for the quarter from year-ago levels.</br></br>The growth has reached a level where tech companies are pushing to hire again, in some cases engaging in heated competition for talent. That's a turnabout for the industry, which had a series of layoffs last year, when some tech giants, notably Microsoft Corp., had mass layoffs for the first time.</br></br>The hiring ramp-up began late last year, with demand for tech goods and services stabilizing after months of declines. At the time, Google Chief Executive Eric Schmidt said the Mountain View, Calif., company was ready to spend again, including on new recruits. On Thursday, Google said it hired 786 new employees in the first quarter and was just getting started."
yes,wsj_398262233,03-04-1992,Fed's Greenspan Refuses to Accept Blame for Recession; Upturn's Pace Is 'Glacial',"WASHINGTON -- While acknowledging that the pace of economic recovery ""has been little more than glacial,"" Federal Reserve Chairman Alan Greenspan refused to take blame for the recession.</br></br>In an appearance before Congress's Joint Economic Committee, Mr. Greenspan said he couldn't think of one policy decision the Fed has made that he would like ""to go back and revisit.""</br></br>""If you were doing it all over again, you'd do it the same way?"" asked Rep. Lee Hamilton (D., Ind.), vice chairman of the panel.</br></br>""I would -- with the knowledge we had at the particular times as things evolved,"" the Fed chairman replied.</br></br>Members of Congress from both parties and the Bush administration recently have intensified their criticism of the Fed for not lowering interest rates aggressively enough. The last rate reduction was made in December, and there was nothing in the chairman's remarks to indicate whether the Fed plans any further moves on interest rates."
no,wsj_855148181,03-06-2011,They're Writing the Checks; Ray Lane and Matthew Rogers on the new energy math for venture capitalists,"Venture capitalists never know for sure which energy innovations will succeed, but they've learned a lot about what it takes to give them a chance. The Wall Street Journal's Kimberley A. Strassel discussed the makings of a successful venture with Ray Lane, managing partner at Kleiner Perkins Caufield & Byers, and Matthew Rogers, a McKinsey & Co. director and former senior adviser to the secretary of energy for Recovery Act implementation.</br></br>Here are edited excerpts of their conversation.</br></br>MS. STRASSEL: People have come to understand over the past year or two that sometimes energy projects are incredibly capital-intensive, a billion dollars sometimes to create a plant, and sometimes it's going to take seven or eight or years to build one of those. How does a venture-capital market evaluate the risk of that, and do they have the patience and time to do those kinds of investments?</br></br>MR. ROGERS: You're going to have to think through how you deal with existing infrastructure, because you're going to try and displace it in a finite market. You're going to have to understand where all the capital is going to come from during the life cycle, because otherwise it doesn't make sense for a venture capitalist. The idea is to take a lot of risk in an early stage and hope you have enough ownership and liquidity to get a 10X return, because you're going to have a lot of losers in the portfolio.</br></br>MS. STRASSEL: Can venture capital do this alone, though?"
no,wsj_399099409,10/28/08,Deal Journal / Breaking Insight From WSJ.com,"Hard-Hit Shares</br></br>Put to Good Use</br></br>---</br></br>CenturyTel, Embarq</br></br>Turn to All-Stock Deal"
no,wsj_516389044,6/23/10,Chevron Falls 2.4%; Jabil Jumps,"Author: Kristina Peterson</br></br>NEW YORK--Blue-chip stocks eked out a tiny gain after the Federal Reserve kept interest rates at record lows, but energy companies Chevron and Exxon Mobil slid as oil prices fell.</br></br>The Dow Jones Industrial Average rose 4.92 points, or 0.05%, to 10298.4, paring an early jump after the Fed's statement led the euro to strengthen.</br></br>The Fed's policy-making body kept key interest rates near zero, as expected, but cast its policy statement with more downbeat language, compared with its previous statement in late April. Still, Fed officials continued to say they expect to keep the benchmark federal-funds rate low for an ""extended period.""</br></br>Investors said weak home sales, lingering unemployment and low inflation combined to persuade the Fed to signal that rates will stay low for some time."
no,wsj_519385250,6/25/10,U.S. News: Cost-Cutting Detroit Will Close 77 Parks,"DETROIT -- The city of Detroit plans to close 77 public parks as part of a bid by Mayor Dave Bing to cuts costs due to a budget deficit pegged at hundreds of millions of dollars.</br></br>Roughly 1,400 acres of parkland will be affected by the closures, which are scheduled to take place July 1.</br></br>""Basically, this was how can we close the lowest number of places,"" said Dan Lijana, spokesman for the mayor. ""Some of these are the largest, most sprawling parks in the city, and some of the most scenic.""</br></br>Mr. Bing pledged more fiscal responsibility when he took office in May 2009, and has been pushing for cuts citywide to stave off financial insolvency. He has won concessions from just over half the city's public-sector unions but he hasn't seen eye-to-eye with the city council, which has pushed for even deeper cuts than he is proposing.</br></br>Detroit has closed dozens of schools in recent years and cut back on other city services, such as busing, as the city as a whole has begun to respond to a decline in population that has left whole blocks and neighborhoods sparsely populated."
